id,title,synopsis,genres,theater_release_year,theater_release_date,online_release_date,minutes_long,content_rating,release_name,release_format,video_quality,info_hash,video_filename
16220,"The Phantom of the Opera","A mad, disfigured composer seeks love with a lovely young opera singer.",Horror,1925,1925-11-15,,93,,"The Phantom of the Opera.1925.1080p.BluRay.x264 . NVEE",Blu-ray,1080p,d81e2a236be3d188d565ab379b2f042d648475c5,"The Phantom of the Opera.1925.1080p.BluRay.x264 . NVEE/The Phantom of the.Opera.1925.1080p.BluRay.x264 . NVEE.mp4"
28346,"Reefer Madness","Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Drama,1938,,,66,,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version",DVD-R,720p,473f022cfaf5b02082d1c7d88fe8f8eb93e9680c,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version/VIDEO_TS/VTS_01_1.VOB"
28346,"Reefer Madness","Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Drama,1938,,,66,,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version",DVD-R,720p,473f022cfaf5b02082d1c7d88fe8f8eb93e9680c,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version/VIDEO_TS/VTS_01_2.VOB"
28346,"Reefer Madness","Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Drama,1938,,,66,,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version",DVD-R,720p,473f022cfaf5b02082d1c7d88fe8f8eb93e9680c,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version/VIDEO_TS/VTS_01_3.VOB"
28346,"Reefer Madness","Cautionary tale features a fictionalized and highly exaggerated take on the use of marijuana. A trio of drug dealers lead innocent teenagers to become addicted to ""reefer"" cigarettes by holding wild parties with jazz music.",Drama,1938,,,66,,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version",DVD-R,720p,473f022cfaf5b02082d1c7d88fe8f8eb93e9680c,"Cannabis Collection - Reefer Madness (1936) - Colorized and Restored Version/VIDEO_TS/VTS_01_4.VOB"
32138,"The Wizard of Oz","Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.","Action & Adventure,Kids & Family,Sci-fi & Fantasy",1939,1939-08-25,,102,PG,"The Wizard of Oz (1939) 720p BrRip x264 - YIFY",Blu-ray,720p,f9061e49b82b6b87073a6b65ae8faa3518b0413c,"The Wizard of Oz (1939)/The.Wizard.of.Oz.1939.720p.BrRip.x264.BOKUTOX.YIFY.mp4"
32138,"The Wizard of Oz","Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home in Kansas and help her friends as well.","Action & Adventure,Kids & Family,Sci-fi & Fantasy",1939,1939-08-25,,102,PG,"The Wizard of Oz (1939) 1080p BrRip x264 - YIFY",Blu-ray,1080p,24c8802e2624e17d46cd555f364debd949f2c81e,"The Wizard of Oz (2939) [1080p]/The.Wizard.of.Oz.1939.1080p.BrRip.x264.BOKUTOX.YIFY.mp4"
53611,"Attack of the Giant Leeches","A backwoods game warden and a local doctor discover that giant leeches are responsible for disappearances and deaths in a local swamp, but the local police don't believe them.","Horror,Sci-fi & Fantasy",1959,1959-10-01,,62,,"Attack of the Giant Leeches",DVD-Rip,720p,71b1d494dc19ac97e96e6156079406ae42f8f773,Attack_of_the_Giant_Leeches.avi
54033,"The Little Shop of Horrors","A clumsy young man nurtures a plant and discovers that it's carnivorous, forcing him to kill to feed it.","Comedy,Horror",1960,1960-08-05,,72,,The.Little.Shop.Of.Horrors.1960.720p.BluRay.x264-psychd,Blu-ray,720p,01f367ceca4f9ed3992fe3888fbca00350696880,The.Little.Shop.Of.Horrors.1960.720p.BluRay.x264-psychd/The.Little.Shop.Of.Horrors.1960.720p.BluRay.x264-psychd.mkv
57298,McLintock!,"Wealthy rancher G.W. McLintock uses his power and influence in the territory to keep the peace between farmers, ranchers, land-grabbers, Indians and corrupt government officials.",,1963,1963-11-13,,127,,"McLintock  (Western 1963)  John Wayne  720p BrRip",Blu-ray,720p,9514fcabe95657afe80e34b3c55fb6e8933d2be0,"McLintock  (Western 1963)  John Wayne  720p BrRip/John Wayne - McLintock   (Western 1963)   John Wayne, Maureen O'Hara & Patrick Wayne  (BR).mp4"
63350,"Night of the Living Dead","There is panic throughout the nation as the dead suddenly come back to life. The film follows a group of characters who barricade themselves in an old farmhouse in an attempt to remain safe from these bloodthirsty, flesh-eating monsters.",Horror,1968,1968-10-04,,96,,"Night Of The Living Dead 1968 720p BRRip x264-x0r",Blu-ray,720p,f17fb68ce756227fce325d0513157915f5634985,Night.Of.The.Living.Dead.1968.720p.BRRip.x264-x0r/Night.Of.The.Living.Dead.1968.720p.BRRip.x264-x0r.mkv
367837,"Hemp for Victory","An informational film produced to encourage farmers to grow hemp for the war effort during WW2. The film details the many industrial uses of hemp, including cloth and cordage, as well as a detailed history of the plant's use.",Documentary,1943,,,15,,"Cannabis Collection - Hemp for Victory - 1942",DVD-R,720p,09a529514e994a64c84ae7b0c7920e4a2f96a724,"Cannabis Collection - Hemp for Victory - 1942/VIDEO_TS/VTS_01_1.VOB"
367837,"Hemp for Victory","An informational film produced to encourage farmers to grow hemp for the war effort during WW2. The film details the many industrial uses of hemp, including cloth and cordage, as well as a detailed history of the plant's use.",Documentary,1943,,,15,,"Hemp for Victory - 1942 - velvetfog",DVD-Rip,720p,2d335da963d26154ce1a9a3f62f6968f69c5f416,"Hemp for Victory -1942.avi"
